Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
Poodle,Small,Female,9.0,61.0,,Active,Special_diet,Nutro,1.0,No,No,No,10.0,2.0,,0.0,47.0,Yes,Yes
Siberian_Husky,Medium,Female,8.0,49.0,Neutered,Active,Wet_food,Hills_Science,3.0,No,No,No,13.0,2.0,Low,1.0,80.0,Yes,Yes
Rottweiler,Large,Female,11.0,59.0,Spayed,Moderate,Hard_food,Iams,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,40.0,Yes,No
German_Shepherd,Large,Female,5.0,46.0,,Moderate,Wet_food,Hills_Science,3.0,No,Yes,No,10.0,3.0,Active,3.0,75.0,Yes,No
Poodle,Small,Female,7.0,34.0,,,Special_diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,,1.0,73.0,Yes,Yes
Boxer,Medium,Female,12.0,45.0,Spayed,,Wet_food,Nutro,4.0,No,Yes,Yes,12.0,3.0,Active,1.0,74.0,Yes,No
German_Shepherd,Large,Female,4.0,26.0,Neutered,Low,Home_cooked,Special,6.0,No,Yes,No,10.0,1.0,,3.0,67.0,Yes,
Labrador_Retriever,Large,Female,8.0,60.0,Spayed,,Wet_food,Iams,3.0,No,Yes,No,11.0,2.0,,1.0,43.0,Yes,Yes
German_Shepherd,Large,Female,2.0,77.0,Spayed,Moderate,Hard_food,Iams,2.0,No,No,,11.0,1.0,,4.0,45.0,Yes,Yes
Labrador_Retriever,Large,Female,6.0,62.0,Spayed,Low,Hard_food,Wellness,2.0,No,No,No,10.0,1.0,Moderate,2.0,64.0,Yes,Yes
Poodle,Small,Male,7.0,66.0,Neutered,,Wet_food,Hills_Science,2.0,Yes,No,No,10.0,,,3.0,50.0,Yes,Yes
Doberman,Large,Male,8.0,42.0,Neutered,Low,Special_diet,Purina,3.0,Yes,No,No,12.0,2.0,Moderate,3.0,64.0,Yes,Yes
Bulldog,Medium,Male,12.0,62.0,Neutered,Moderate,Wet_food,Iams,0.0,Yes,No,Yes,9.0,1.0,Very_Active,1.0,68.0,Yes,No
Golden_Retriever,Large,Male,1.0,75.0,Spayed,Active,Wet_food,Blue_Buffalo,2.0,No,Yes,No,12.0,0.0,,0.0,44.0,Yes,No
Labrador_Retriever,Large,Female,4.0,40.0,Neutered,Very_Active,Hard_food,Purina,3.0,No,No,No,13.0,0.0,Active,2.0,57.0,,Yes
Australian_Shepherd,,Male,8.0,63.0,,,Hard_food,Blue_Buffalo,3.0,Yes,No,No,10.0,3.0,Very_Active,0.0,54.0,Yes,No
Beagle,Small,Female,13.0,41.0,,Active,Wet_food,Purina,4.0,No,No,No,12.0,1.0,Active,0.0,69.0,Yes,No
Yorkshire_Terrier,Small,Male,11.0,63.0,Spayed,Low,,Iams,3.0,No,No,No,12.0,1.0,,0.0,55.0,Yes,Yes
Boxer,Medium,Male,5.0,38.0,Neutered,Active,Hard_food,Royal_Canin,2.0,Yes,No,No,12.0,3.0,Active,3.0,35.0,Yes,Yes
Labrador_Retriever,Large,Male,10.0,52.0,,Low,Home_cooked,Special,2.0,No,Yes,Yes,10.0,2.0,Low,3.0,50.0,Yes,No
Golden_Retriever,Large,Female,5.0,71.0,Spayed,Moderate,Home_cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,1.0,,Yes,Yes
Beagle,Small,Male,9.0,30.0,Neutered,Moderate,Hard_food,Purina,2.0,Yes,Yes,,11.0,0.0,Active,4.0,59.0,Yes,No
Golden_Retriever,Large,Male,1.0,35.0,,,Hard_food,Royal_Canin,6.0,Yes,Yes,No,14.0,1.0,Active,1.0,64.0,Yes,No
Boxer,Medium,,10.0,41.0,,Very_Active,Special_diet,Royal_Canin,5.0,Yes,Yes,No,11.0,3.0,Active,2.0,78.0,Yes,Yes
Doberman,Large,Female,9.0,51.0,,Moderate,Special_diet,Blue_Buffalo,2.0,No,Yes,No,9.0,2.0,Active,1.0,75.0,Yes,No
Dachshund,Small,Female,13.0,62.0,Neutered,Low,,Wellness,4.0,Yes,Yes,No,12.0,2.0,,0.0,68.0,Yes,No
Dachshund,Small,Female,10.0,55.0,Spayed,Moderate,Home_cooked,Special,1.0,Yes,Yes,No,12.0,2.0,,4.0,53.0,Yes,Yes
Golden_Retriever,Large,Female,9.0,,Neutered,,Home_cooked,Special,2.0,,No,No,11.0,1.0,,1.0,79.0,Yes,Yes
Australian_Shepherd,Medium,Female,13.0,84.0,Spayed,Low,Home_cooked,Special,2.0,No,Yes,No,13.0,1.0,Very_Active,0.0,78.0,Yes,No
Yorkshire_Terrier,,Female,13.0,14.0,Neutered,,Special_diet,Wellness,2.0,Yes,Yes,No,12.0,1.0,Moderate,3.0,,Yes,No
Beagle,Small,Female,6.0,56.0,Spayed,Moderate,Wet_food,,,No,No,No,12.0,2.0,,0.0,86.0,Yes,Yes
Yorkshire_Terrier,Small,,2.0,29.0,Spayed,,Hard_food,Nutro,1.0,No,Yes,No,10.0,3.0,Very_Active,3.0,66.0,Yes,Yes
Bulldog,Medium,Male,11.0,34.0,Spayed,Moderate,Home_cooked,Special,2.0,,No,Yes,9.0,3.0,Low,3.0,66.0,Yes,Yes
Boxer,Medium,Male,9.0,57.0,,Very_Active,Home_cooked,Special,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes
Rottweiler,Large,Male,11.0,71.0,Neutered,Very_Active,Special_diet,Iams,5.0,Yes,No,No,14.0,1.0,Moderate,1.0,75.0,Yes,Yes
Yorkshire_Terrier,Small,Male,12.0,73.0,Neutered,Very_Active,Home_cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,0.0,84.0,Yes,Yes
Great_Dane,,Female,,57.0,Spayed,Low,Special_diet,Nutro,3.0,Yes,Yes,Yes,10.0,3.0,,1.0,42.0,Yes,No
Dachshund,,Male,7.0,91.0,Spayed,Very_Active,Home_cooked,Special,2.0,Yes,Yes,No,11.0,0.0,Very_Active,1.0,53.0,Yes,Yes
Poodle,Small,Male,1.0,30.0,,Active,Wet_food,Blue_Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,78.0,Yes,Yes
Dachshund,Small,Male,9.0,22.0,Neutered,,Home_cooked,Special,3.0,Yes,Yes,No,9.0,1.0,Low,1.0,98.0,Yes,No
Chihuahua,Small,Male,2.0,49.0,,Very_Active,Home_cooked,Special,1.0,Yes,No,No,13.0,1.0,Low,1.0,38.0,Yes,
Australian_Shepherd,Medium,Female,12.0,43.0,,Very_Active,Special_diet,Royal_Canin,2.0,No,Yes,No,10.0,2.0,Active,1.0,92.0,Yes,Yes
Poodle,Small,Male,1.0,48.0,Spayed,Low,Wet_food,Hills_Science,5.0,Yes,No,No,12.0,0.0,Active,0.0,66.0,Yes,No
Siberian_Husky,Medium,Female,4.0,54.0,Neutered,Low,Home_cooked,Special,2.0,Yes,Yes,No,10.0,3.0,Low,2.0,87.0,Yes,
Golden_Retriever,Large,Male,2.0,43.0,,Low,Wet_food,Pedigree,2.0,Yes,Yes,No,14.0,0.0,Moderate,1.0,58.0,Yes,Yes
Australian_Shepherd,Medium,Male,3.0,76.0,Neutered,,Wet_food,Purina,3.0,Yes,No,No,8.0,3.0,Active,2.0,76.0,Yes,Yes
Australian_Shepherd,Medium,Female,,53.0,Neutered,Moderate,Special_diet,Wellness,5.0,Yes,No,No,14.0,0.0,Active,3.0,58.0,Yes,Yes
Rottweiler,Large,Female,3.0,32.0,Neutered,,Wet_food,Royal_Canin,4.0,No,No,No,10.0,1.0,Very_Active,0.0,77.0,Yes,Yes
German_Shepherd,Large,Female,10.0,37.0,Neutered,Very_Active,Wet_food,Hills_Science,3.0,No,No,No,11.0,2.0,Moderate,2.0,79.0,Yes,Yes
Australian_Shepherd,Medium,Female,4.0,56.0,Neutered,Active,Special_diet,Iams,3.0,Yes,No,No,9.0,0.0,,1.0,36.0,,Yes
Chihuahua,Small,Female,9.0,76.0,Neutered,Low,Special_diet,Purina,0.0,Yes,Yes,No,13.0,3.0,Low,1.0,31.0,Yes,Yes
Siberian_Husky,Medium,Male,3.0,33.0,Spayed,,Special_diet,Blue_Buffalo,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,65.0,Yes,Yes
Poodle,Small,Male,5.0,33.0,Spayed,Low,Wet_food,Purina,4.0,No,Yes,No,10.0,1.0,,1.0,37.0,Yes,Yes
Boxer,Medium,Male,5.0,38.0,,Moderate,Home_cooked,Special,4.0,No,Yes,No,12.0,2.0,,2.0,50.0,Yes,Yes
Yorkshire_Terrier,Small,Male,12.0,40.0,,Low,Special_diet,Purina,2.0,Yes,No,No,11.0,4.0,Active,1.0,78.0,Yes,Yes
Doberman,Large,Male,10.0,54.0,,Very_Active,Special_diet,,3.0,Yes,Yes,No,,3.0,,1.0,39.0,Yes,Yes
Golden_Retriever,Large,Female,2.0,65.0,Neutered,Low,Special_diet,Blue_Buffalo,1.0,No,Yes,Yes,9.0,0.0,Very_Active,0.0,50.0,Yes,No
,Medium,Male,7.0,,,Active,Special_diet,Iams,5.0,No,No,No,11.0,2.0,Low,0.0,53.0,Yes,Yes
Labrador_Retriever,Large,Male,2.0,57.0,Neutered,Active,Home_cooked,Special,0.0,No,Yes,,10.0,1.0,Low,1.0,70.0,Yes,Yes
Bulldog,Medium,Female,8.0,38.0,Neutered,Moderate,Hard_food,Pedigree,2.0,Yes,No,No,9.0,1.0,,2.0,77.0,Yes,Yes
Siberian_Husky,Medium,Male,7.0,39.0,Spayed,Very_Active,Special_diet,Purina,3.0,No,Yes,No,12.0,1.0,Very_Active,2.0,60.0,Yes,Yes
Chihuahua,Small,Female,8.0,45.0,Neutered,Moderate,Wet_food,Royal_Canin,2.0,,No,No,12.0,2.0,Very_Active,0.0,94.0,Yes,Yes
Siberian_Husky,Medium,Male,1.0,61.0,Neutered,Active,Wet_food,Wellness,1.0,No,No,No,12.0,2.0,Moderate,1.0,69.0,Yes,Yes
Australian_Shepherd,Medium,Male,5.0,43.0,Neutered,,Special_diet,Purina,5.0,No,Yes,No,12.0,0.0,Active,4.0,82.0,Yes,Yes
Yorkshire_Terrier,Small,Female,8.0,92.0,,Moderate,Special_diet,Royal_Canin,2.0,Yes,Yes,No,11.0,3.0,,1.0,55.0,Yes,No
Doberman,Large,Female,9.0,,Spayed,,Hard_food,,2.0,Yes,No,No,13.0,0.0,Very_Active,1.0,58.0,Yes,Yes
Bulldog,Medium,Female,9.0,25.0,Spayed,Very_Active,Home_cooked,Special,3.0,No,Yes,No,13.0,1.0,Active,2.0,100.0,Yes,Yes
Great_Dane,Large,Female,11.0,60.0,Spayed,Active,Home_cooked,Special,1.0,No,No,No,12.0,1.0,Very_Active,2.0,75.0,Yes,Yes
Poodle,Small,Male,8.0,66.0,Neutered,Active,Home_cooked,Special,1.0,No,Yes,No,13.0,2.0,,0.0,72.0,Yes,Yes
Doberman,Large,Male,12.0,34.0,Neutered,Low,Home_cooked,Special,3.0,No,Yes,No,13.0,2.0,,0.0,51.0,Yes,No
German_Shepherd,Large,Male,,56.0,,Low,Hard_food,Royal_Canin,3.0,Yes,,No,9.0,1.0,,0.0,76.0,Yes,No
Beagle,Small,Male,6.0,63.0,Spayed,Low,Home_cooked,Special,2.0,Yes,No,Yes,9.0,2.0,Low,1.0,100.0,,Yes
Doberman,,Male,7.0,39.0,Neutered,Low,Home_cooked,Special,2.0,No,No,No,10.0,2.0,Moderate,4.0,72.0,Yes,Yes
Labrador_Retriever,Large,Female,13.0,10.0,Neutered,,Home_cooked,Special,2.0,Yes,Yes,,10.0,2.0,Low,1.0,88.0,Yes,Yes
Yorkshire_Terrier,Small,Female,1.0,41.0,,Very_Active,Special_diet,Hills_Science,3.0,No,Yes,No,11.0,0.0,Low,,66.0,Yes,Yes
Beagle,Small,Male,,29.0,Neutered,Moderate,,Blue_Buffalo,2.0,No,No,No,14.0,1.0,Very_Active,0.0,75.0,Yes,Yes
Yorkshire_Terrier,Small,Female,10.0,51.0,Spayed,,Special_diet,Royal_Canin,4.0,Yes,Yes,No,13.0,3.0,Low,3.0,66.0,Yes,Yes
Golden_Retriever,Large,Male,9.0,60.0,Spayed,Moderate,Special_diet,Nutro,3.0,No,Yes,Yes,10.0,1.0,Low,0.0,44.0,Yes,No
Siberian_Husky,Medium,,8.0,58.0,,Active,Home_cooked,Special,2.0,No,Yes,No,,1.0,,2.0,54.0,Yes,Yes
Boxer,Medium,Male,4.0,63.0,Neutered,Moderate,Hard_food,Wellness,4.0,No,Yes,No,12.0,3.0,Very_Active,2.0,53.0,Yes,Yes
Dachshund,Small,Female,6.0,37.0,,Very_Active,Wet_food,Pedigree,4.0,No,Yes,No,11.0,0.0,Active,1.0,77.0,Yes,
Labrador_Retriever,Large,Male,10.0,79.0,,Active,Hard_food,Pedigree,3.0,No,Yes,No,9.0,1.0,,4.0,75.0,Yes,No
Siberian_Husky,Medium,Male,4.0,36.0,Neutered,Low,Hard_food,Hills_Science,3.0,No,Yes,No,12.0,0.0,,1.0,56.0,Yes,Yes
Labrador_Retriever,Large,Male,4.0,20.0,Spayed,Active,Hard_food,Purina,3.0,No,Yes,No,9.0,2.0,Moderate,1.0,67.0,Yes,Yes
Golden_Retriever,Large,Male,,26.0,,,Special_diet,Pedigree,3.0,No,Yes,No,8.0,2.0,Low,0.0,75.0,Yes,No
Yorkshire_Terrier,Small,Female,9.0,50.0,Neutered,Moderate,Special_diet,Purina,2.0,Yes,No,No,11.0,,Active,3.0,59.0,Yes,Yes
,Large,Female,6.0,50.0,Neutered,Moderate,Special_diet,Nutro,1.0,Yes,No,No,9.0,1.0,Very_Active,0.0,55.0,Yes,Yes
Siberian_Husky,Medium,Male,4.0,27.0,,Moderate,Home_cooked,Special,1.0,Yes,No,No,10.0,2.0,,0.0,42.0,Yes,Yes
Chihuahua,Small,Male,4.0,55.0,Spayed,Active,Wet_food,Purina,0.0,No,No,No,12.0,1.0,Moderate,0.0,67.0,Yes,Yes
Poodle,Small,Female,3.0,51.0,Neutered,Very_Active,,Nutro,2.0,Yes,No,No,12.0,1.0,Moderate,1.0,60.0,Yes,Yes
Labrador_Retriever,Large,Male,4.0,43.0,Spayed,Active,Hard_food,Purina,2.0,No,No,No,13.0,1.0,,1.0,63.0,Yes,Yes
German_Shepherd,Large,Female,10.0,50.0,,Active,Special_diet,Pedigree,4.0,No,No,,9.0,3.0,Low,0.0,58.0,Yes,Yes
Beagle,Small,Male,4.0,62.0,Neutered,,Hard_food,Blue_Buffalo,3.0,No,No,No,,2.0,Moderate,1.0,68.0,Yes,Yes
Yorkshire_Terrier,Small,Male,,62.0,Spayed,,Wet_food,Pedigree,1.0,No,Yes,No,12.0,1.0,,1.0,46.0,Yes,No
Chihuahua,Small,Male,11.0,37.0,,Active,Special_diet,Hills_Science,3.0,No,No,No,10.0,2.0,Active,0.0,74.0,Yes,Yes
Golden_Retriever,Large,Female,10.0,57.0,,Low,Home_cooked,Special,6.0,Yes,Yes,No,10.0,1.0,Moderate,0.0,51.0,Yes,No
Siberian_Husky,Medium,Male,8.0,41.0,Neutered,Moderate,Special_diet,Hills_Science,2.0,No,Yes,No,12.0,2.0,Active,0.0,76.0,Yes,Yes
Dachshund,Small,Male,2.0,33.0,,,,Purina,0.0,Yes,No,No,13.0,0.0,,1.0,57.0,Yes,Yes
Labrador_Retriever,Large,Female,4.0,71.0,Spayed,,Special_diet,Hills_Science,6.0,Yes,Yes,No,10.0,0.0,Low,1.0,48.0,Yes,Yes
Doberman,Large,Female,3.0,47.0,Neutered,Low,Wet_food,Hills_Science,3.0,Yes,,No,14.0,0.0,Moderate,2.0,85.0,Yes,Yes
Yorkshire_Terrier,Small,Male,3.0,44.0,Neutered,,Home_cooked,Special,1.0,Yes,Yes,No,10.0,0.0,Very_Active,3.0,51.0,Yes,Yes
Rottweiler,Large,Male,10.0,61.0,Neutered,Active,Wet_food,Royal_Canin,0.0,Yes,Yes,No,10.0,0.0,Active,2.0,91.0,Yes,Yes
Chihuahua,Small,,11.0,34.0,Spayed,,Hard_food,Wellness,1.0,No,Yes,No,10.0,1.0,Active,0.0,53.0,Yes,No
Great_Dane,Large,Male,3.0,78.0,Neutered,Low,Wet_food,Blue_Buffalo,5.0,No,No,No,9.0,2.0,Low,2.0,68.0,Yes,Yes
,Large,Female,9.0,48.0,,,,Royal_Canin,4.0,No,Yes,,10.0,3.0,Very_Active,1.0,84.0,Yes,No
Yorkshire_Terrier,Small,Female,4.0,45.0,Neutered,,,Special,7.0,No,No,Yes,8.0,0.0,Low,2.0,53.0,Yes,Yes
Doberman,Large,Male,9.0,12.0,,Active,Home_cooked,Special,1.0,Yes,No,No,11.0,2.0,Very_Active,3.0,87.0,Yes,Yes
Siberian_Husky,Medium,Male,4.0,62.0,Neutered,Very_Active,Hard_food,Iams,3.0,No,No,No,13.0,2.0,Low,2.0,66.0,Yes,Yes
Chihuahua,Small,Male,12.0,74.0,Neutered,Moderate,Special_diet,Nutro,5.0,Yes,Yes,No,12.0,2.0,Active,0.0,78.0,Yes,No
Labrador_Retriever,Large,Female,,40.0,Spayed,Active,Hard_food,Royal_Canin,1.0,No,No,No,10.0,1.0,,4.0,49.0,Yes,Yes
Beagle,Small,Male,11.0,62.0,Spayed,Low,Special_diet,Pedigree,1.0,Yes,No,No,11.0,3.0,Low,3.0,83.0,Yes,Yes
Australian_Shepherd,Medium,Female,7.0,19.0,,Low,Wet_food,Nutro,5.0,Yes,Yes,No,14.0,2.0,,,43.0,Yes,No
Yorkshire_Terrier,Small,Male,8.0,50.0,Spayed,,Special_diet,Iams,2.0,Yes,Yes,No,11.0,2.0,Low,3.0,64.0,Yes,Yes
Siberian_Husky,Medium,Female,7.0,84.0,Neutered,Active,Special_diet,Wellness,0.0,Yes,No,No,12.0,1.0,Active,3.0,60.0,Yes,Yes
Golden_Retriever,Large,Female,10.0,59.0,Spayed,Low,Special_diet,Hills_Science,1.0,No,No,No,12.0,1.0,,,45.0,Yes,Yes
Dachshund,Small,Female,4.0,23.0,Spayed,Very_Active,Special_diet,Nutro,3.0,Yes,Yes,No,13.0,3.0,Low,2.0,55.0,Yes,Yes
Siberian_Husky,Medium,Male,2.0,66.0,,Active,Hard_food,Iams,2.0,Yes,No,No,10.0,3.0,,0.0,69.0,Yes,Yes
Bulldog,Medium,Female,9.0,65.0,Neutered,Moderate,Wet_food,Hills_Science,5.0,Yes,No,No,14.0,0.0,Low,0.0,58.0,Yes,No
Poodle,Small,,5.0,33.0,Spayed,Very_Active,,Royal_Canin,2.0,No,No,No,12.0,2.0,Very_Active,2.0,64.0,,Yes
Labrador_Retriever,Large,Female,13.0,58.0,Spayed,Moderate,Home_cooked,Special,2.0,No,No,No,12.0,,Low,0.0,79.0,Yes,Yes
German_Shepherd,Large,Female,12.0,47.0,,Low,,Special,3.0,Yes,No,No,10.0,0.0,,2.0,48.0,,Yes
Labrador_Retriever,,Female,2.0,,,Moderate,Special_diet,Wellness,2.0,No,No,No,10.0,3.0,Active,3.0,72.0,Yes,Yes
Boxer,Medium,Male,,63.0,,Active,Home_cooked,Special,0.0,No,No,No,9.0,3.0,Active,2.0,84.0,Yes,Yes
Doberman,Large,Male,2.0,51.0,Spayed,Active,Hard_food,Blue_Buffalo,2.0,No,Yes,No,10.0,1.0,Low,0.0,70.0,Yes,Yes
Beagle,Small,Female,12.0,47.0,Spayed,Active,Hard_food,,2.0,Yes,Yes,No,12.0,0.0,Moderate,0.0,63.0,Yes,No
Boxer,Medium,Female,6.0,67.0,Spayed,,Hard_food,Pedigree,2.0,Yes,No,Yes,11.0,1.0,,4.0,66.0,Yes,Yes
