@relation teste_weka

@attribute Breed {Australian_Shepherd,Chihuahua,Siberian_Husky,Boxer,Labrador_Retriever,Bulldog,Rottweiler,German_Shepherd,Poodle,Doberman,Great_Dane,Beagle,Golden_Retriever,Dachshund,Yorkshire_Terrier}
@attribute Breed_Size {Medium,Small,Large}
@attribute Sex {Male,Female}
@attribute Age numeric
@attribute Weight_lbs numeric
@attribute SpayNeuter_Status {Neutered,Spayed}
@attribute Daily_Activity_Level {Active,Very_Active,Moderate,Low}
@attribute Diet {Home_cooked,Wet_food,Special_diet,Hard_food}
@attribute Food_Brand {Wellness,Special,Purina,Iams,Blue_Buffalo,Royal_Canin,Nutro,Pedigree,Hills_Science}
@attribute Daily_Walk_Distance_miles numeric
@attribute Other_Pets_in_Household {No,Yes}
@attribute Medications {Yes,No}
@attribute Seizures {No,Yes}
@attribute Hours_of_Sleep numeric
@attribute Play_Time_hrs numeric
@attribute Owner_Activity_Level {Active,Low,Moderate,Very_Active}
@attribute Annual_Vet_Visits numeric
@attribute Average_Temperature_F numeric
@attribute Synthetic {Yes}
@attribute Healthy {Yes,No}

@data
Labrador_Retriever,?,Female,2,?,?,Moderate,Special_diet,Wellness,2,No,No,No,10,3,Active,3,72,Yes,Yes
Boxer,Medium,Male,?,63,?,Active,Home_cooked,Special,0,No,No,No,9,3,Active,2,84,Yes,Yes
Doberman,Large,Male,2,51,Spayed,Active,Hard_food,Blue_Buffalo,2,No,Yes,No,10,1,Low,0,70,Yes,Yes
Beagle,Small,Female,12,47,Spayed,Active,Hard_food,?,2,Yes,Yes,No,12,0,Moderate,0,63,Yes,No
Boxer,Medium,Female,6,67,Spayed,?,Hard_food,Pedigree,2,Yes,No,Yes,11,1,?,4,66,Yes,Yes
Labrador_Retriever,Large,Male,7,61,Spayed,Very_Active,Special_diet,Blue_Buffalo,1,No,No,No,11,1,Moderate,2,74,Yes,Yes
Doberman,Large,Female,2,55,Neutered,?,Wet_food,Hills_Science,2,No,Yes,No,11,3,Very_Active,3,45,Yes,Yes
Bulldog,Medium,Female,1,38,?,?,Home_cooked,Special,1,Yes,Yes,Yes,13,?,?,1,56,Yes,No
Australian_Shepherd,Medium,Male,1,43,Spayed,Very_Active,Wet_food,Iams,3,No,Yes,No,11,1,Low,2,49,Yes,Yes
German_Shepherd,Large,Female,6,69,Spayed,Low,Special_diet,Pedigree,4,Yes,No,No,11,2,Very_Active,2,74,Yes,Yes
Chihuahua,Small,Female,2,47,Spayed,Active,Home_cooked,Special,3,No,Yes,No,13,0,Moderate,2,57,Yes,Yes
Australian_Shepherd,Medium,Male,7,10,Spayed,Active,Home_cooked,Special,1,Yes,Yes,No,12,4,Moderate,1,68,Yes,Yes
Bulldog,Medium,Male,?,80,Neutered,Active,Wet_food,Iams,2,No,Yes,No,10,1,Active,4,78,Yes,Yes
Rottweiler,Large,Female,4,58,Spayed,?,Hard_food,Hills_Science,0,Yes,No,Yes,10,2,Very_Active,0,49,Yes,No
Doberman,Large,Female,1,52,?,Very_Active,Hard_food,Purina,0,Yes,Yes,No,12,3,Active,1,33,Yes,No
Siberian_Husky,Medium,Female,7,61,Neutered,Very_Active,Wet_food,Wellness,3,Yes,No,No,11,0,Moderate,0,61,Yes,Yes
Australian_Shepherd,Medium,Male,2,44,?,Moderate,Home_cooked,Special,4,Yes,Yes,No,12,1,?,1,75,Yes,Yes
Rottweiler,Large,Female,5,62,?,Very_Active,Hard_food,Hills_Science,3,Yes,No,No,13,3,Low,2,69,Yes,Yes
Doberman,Large,Male,11,73,?,Very_Active,Home_cooked,Special,?,No,No,No,11,2,Active,4,70,Yes,Yes
Dachshund,Small,?,4,51,?,Low,Special_diet,Blue_Buffalo,4,Yes,Yes,Yes,11,3,Very_Active,1,58,Yes,No
Siberian_Husky,Medium,Female,6,25,Spayed,Low,Special_diet,Wellness,4,No,No,No,12,2,?,2,80,Yes,Yes
Rottweiler,Large,Female,3,64,Spayed,?,Hard_food,Royal_Canin,3,Yes,Yes,No,11,1,Very_Active,1,75,?,Yes
Chihuahua,Small,Female,9,55,Spayed,?,Home_cooked,Special,2,No,Yes,No,11,2,Very_Active,0,87,Yes,No
Beagle,Small,Male,8,58,Neutered,?,Wet_food,Blue_Buffalo,?,No,Yes,No,11,0,?,2,75,Yes,Yes
Siberian_Husky,Medium,Male,13,38,Spayed,Very_Active,Home_cooked,Special,1,Yes,No,No,14,2,?,4,73,Yes,Yes
Chihuahua,Small,Male,8,52,Spayed,Low,Home_cooked,Special,3,Yes,Yes,No,9,3,Very_Active,2,45,Yes,Yes
Doberman,Large,Female,8,80,Spayed,Low,Wet_food,Royal_Canin,1,No,No,?,10,2,Very_Active,2,55,Yes,Yes
Boxer,Medium,?,10,59,?,Low,Hard_food,Wellness,4,Yes,No,No,11,2,Active,0,63,Yes,No
Australian_Shepherd,Medium,Female,11,61,?,Very_Active,Home_cooked,?,2,No,No,No,10,3,Low,2,45,Yes,Yes
Great_Dane,Large,Female,4,33,?,Low,Home_cooked,Special,0,Yes,No,No,11,2,Moderate,2,83,Yes,Yes
Bulldog,Medium,Female,12,45,Neutered,Moderate,Special_diet,Hills_Science,2,No,No,No,12,2,?,3,75,Yes,Yes
Rottweiler,Large,Male,?,52,Neutered,?,Special_diet,Iams,1,Yes,Yes,No,12,?,Low,1,71,Yes,Yes
