ID,Breed,Breed_Size,Sex,Age,Weight_lbs,SpayNeuter_Status,Daily_Activity_Level,Diet,Food_Brand,Daily_Walk_Distance_miles,Other_Pets_in_Household,Medications,Seizures,Hours_of_Sleep,Play_Time_hrs,Owner_Activity_Level,Annual_Vet_Visits,Average_Temperature_F,Synthetic,Healthy
128,Siberian_Husky,Medium,,8.0,58.0,,Active,Home_cooked,Special,2.0,No,Yes,No,,1.0,,2.0,54.0,Yes,Yes
129,Boxer,Medium,Male,4.0,63.0,Neutered,Moderate,Hard_food,Wellness,4.0,No,Yes,No,12.0,3.0,Very_Active,2.0,53.0,Yes,Yes
130,Dachshund,Small,Female,6.0,37.0,,Very_Active,Wet_food,Pedigree,4.0,No,Yes,No,11.0,0.0,Active,1.0,77.0,Yes,
131,Labrador_Retriever,Large,Male,10.0,79.0,,Active,Hard_food,Pedigree,3.0,No,Yes,No,9.0,1.0,,4.0,75.0,Yes,No
132,Siberian_Husky,Medium,Male,4.0,36.0,Neutered,Low,Hard_food,Hills_Science,3.0,No,Yes,No,12.0,0.0,,1.0,56.0,Yes,Yes
133,Labrador_Retriever,Large,Male,4.0,20.0,Spayed,Active,Hard_food,Purina,3.0,No,Yes,No,9.0,2.0,Moderate,1.0,67.0,Yes,Yes
134,Golden_Retriever,Large,Male,,26.0,,,Special_diet,Pedigree,3.0,No,Yes,No,8.0,2.0,Low,0.0,75.0,Yes,No
135,Yorkshire_Terrier,Small,Female,9.0,50.0,Neutered,Moderate,Special_diet,Purina,2.0,Yes,No,No,11.0,,Active,3.0,59.0,Yes,Yes
136,,Large,Female,6.0,50.0,Neutered,Moderate,Special_diet,Nutro,1.0,Yes,No,No,9.0,1.0,Very_Active,0.0,55.0,Yes,Yes
137,Siberian_Husky,Medium,Male,4.0,27.0,,Moderate,Home_cooked,Special,1.0,Yes,No,No,10.0,2.0,,0.0,42.0,Yes,Yes
138,Chihuahua,Small,Male,4.0,55.0,Spayed,Active,Wet_food,Purina,0.0,No,No,No,12.0,1.0,Moderate,0.0,67.0,Yes,Yes
139,Poodle,Small,Female,3.0,51.0,Neutered,Very_Active,,Nutro,2.0,Yes,No,No,12.0,1.0,Moderate,1.0,60.0,Yes,Yes
140,Labrador_Retriever,Large,Male,4.0,43.0,Spayed,Active,Hard_food,Purina,2.0,No,No,No,13.0,1.0,,1.0,63.0,Yes,Yes
141,German_Shepherd,Large,Female,10.0,50.0,,Active,Special_diet,Pedigree,4.0,No,No,,9.0,3.0,Low,0.0,58.0,Yes,Yes
142,Beagle,Small,Male,4.0,62.0,Neutered,,Hard_food,Blue_Buffalo,3.0,No,No,No,,2.0,Moderate,1.0,68.0,Yes,Yes
143,Yorkshire_Terrier,Small,Male,,62.0,Spayed,,Wet_food,Pedigree,1.0,No,Yes,No,12.0,1.0,,1.0,46.0,Yes,No
144,Chihuahua,Small,Male,11.0,37.0,,Active,Special_diet,Hills_Science,3.0,No,No,No,10.0,2.0,Active,0.0,74.0,Yes,Yes
145,Golden_Retriever,Large,Female,10.0,57.0,,Low,Home_cooked,Special,6.0,Yes,Yes,No,10.0,1.0,Moderate,0.0,51.0,Yes,No
146,Siberian_Husky,Medium,Male,8.0,41.0,Neutered,Moderate,Special_diet,Hills_Science,2.0,No,Yes,No,12.0,2.0,Active,0.0,76.0,Yes,Yes
147,Dachshund,Small,Male,2.0,33.0,,,,Purina,0.0,Yes,No,No,13.0,0.0,,1.0,57.0,Yes,Yes
148,Labrador_Retriever,Large,Female,4.0,71.0,Spayed,,Special_diet,Hills_Science,6.0,Yes,Yes,No,10.0,0.0,Low,1.0,48.0,Yes,Yes
149,Doberman,Large,Female,3.0,47.0,Neutered,Low,Wet_food,Hills_Science,3.0,Yes,,No,14.0,0.0,Moderate,2.0,85.0,Yes,Yes
150,Yorkshire_Terrier,Small,Male,3.0,44.0,Neutered,,Home_cooked,Special,1.0,Yes,Yes,No,10.0,0.0,Very_Active,3.0,51.0,Yes,Yes
151,Rottweiler,Large,Male,10.0,61.0,Neutered,Active,Wet_food,Royal_Canin,0.0,Yes,Yes,No,10.0,0.0,Active,2.0,91.0,Yes,Yes
152,Chihuahua,Small,,11.0,34.0,Spayed,,Hard_food,Wellness,1.0,No,Yes,No,10.0,1.0,Active,0.0,53.0,Yes,No
153,Great_Dane,Large,Male,3.0,78.0,Neutered,Low,Wet_food,Blue_Buffalo,5.0,No,No,No,9.0,2.0,Low,2.0,68.0,Yes,Yes
154,,Large,Female,9.0,48.0,,,,Royal_Canin,4.0,No,Yes,,10.0,3.0,Very_Active,1.0,84.0,Yes,No
155,Yorkshire_Terrier,Small,Female,4.0,45.0,Neutered,,,Special,7.0,No,No,Yes,8.0,0.0,Low,2.0,53.0,Yes,Yes
156,Doberman,Large,Male,9.0,12.0,,Active,Home_cooked,Special,1.0,Yes,No,No,11.0,2.0,Very_Active,3.0,87.0,Yes,Yes
157,Siberian_Husky,Medium,Male,4.0,62.0,Neutered,Very_Active,Hard_food,Iams,3.0,No,No,No,13.0,2.0,Low,2.0,66.0,Yes,Yes
158,Chihuahua,Small,Male,12.0,74.0,Neutered,Moderate,Special_diet,Nutro,5.0,Yes,Yes,No,12.0,2.0,Active,0.0,78.0,Yes,No
159,Labrador_Retriever,Large,Female,,40.0,Spayed,Active,Hard_food,Royal_Canin,1.0,No,No,No,10.0,1.0,,4.0,49.0,Yes,Yes
160,Beagle,Small,Male,11.0,62.0,Spayed,Low,Special_diet,Pedigree,1.0,Yes,No,No,11.0,3.0,Low,3.0,83.0,Yes,Yes
161,Australian_Shepherd,Medium,Female,7.0,19.0,,Low,Wet_food,Nutro,5.0,Yes,Yes,No,14.0,2.0,,,43.0,Yes,No
162,Yorkshire_Terrier,Small,Male,8.0,50.0,Spayed,,Special_diet,Iams,2.0,Yes,Yes,No,11.0,2.0,Low,3.0,64.0,Yes,Yes
163,Siberian_Husky,Medium,Female,7.0,84.0,Neutered,Active,Special_diet,Wellness,0.0,Yes,No,No,12.0,1.0,Active,3.0,60.0,Yes,Yes
164,Golden_Retriever,Large,Female,10.0,59.0,Spayed,Low,Special_diet,Hills_Science,1.0,No,No,No,12.0,1.0,,,45.0,Yes,Yes
165,Dachshund,Small,Female,4.0,23.0,Spayed,Very_Active,Special_diet,Nutro,3.0,Yes,Yes,No,13.0,3.0,Low,2.0,55.0,Yes,Yes
166,Siberian_Husky,Medium,Male,2.0,66.0,,Active,Hard_food,Iams,2.0,Yes,No,No,10.0,3.0,,0.0,69.0,Yes,Yes
167,Bulldog,Medium,Female,9.0,65.0,Neutered,Moderate,Wet_food,Hills_Science,5.0,Yes,No,No,14.0,0.0,Low,0.0,58.0,Yes,No
168,Poodle,Small,,5.0,33.0,Spayed,Very_Active,,Royal_Canin,2.0,No,No,No,12.0,2.0,Very_Active,2.0,64.0,,Yes
169,Labrador_Retriever,Large,Female,13.0,58.0,Spayed,Moderate,Home_cooked,Special,2.0,No,No,No,12.0,,Low,0.0,79.0,Yes,Yes
170,German_Shepherd,Large,Female,12.0,47.0,,Low,,Special,3.0,Yes,No,No,10.0,0.0,,2.0,48.0,,Yes
171,Labrador_Retriever,,Female,2.0,,,Moderate,Special_diet,Wellness,2.0,No,No,No,10.0,3.0,Active,3.0,72.0,Yes,Yes
